id,organization_id,name,alternate_name
603957923828203,1235669446637932,"Community Wellness","When we feel our best, we can do and be our best. Our team connects DC residents with the healthy food options, shelter, and support needed on the journey to feeling well and living well!"
582221223032363,765268136875870,"Transitional Housing",
611766872329127,1126607081226356,Seniors,"JSSS's program for seniors."
665627203303988,1280943812182660,Ready2Succeed,"Our Ready2Succeed workforce development programs provide valuable training, job experience and references, as well as the opportunity to earn and save wages for permanent housing. Participants no longer struggle with life-altering addictions or behavior and are motivated to achieve independent employment.  For more information download the Men’s Ministry Brochure.

https://www.missiondc.org/wp-content/uploads/2019/07/men_programs_brochure_2019-7.pdf"
798032515591868,558598955804152,"Adult Day Services",
761532990228716,558598955804152,"Kensington Clubs","Since 2008, the Kensington Clubs have been offering activities, camaraderie and coping skills for people in the early stages of diagnosed memory loss. Participants enjoy stimulating cognitive and physical programs, morning coffee and lunch in a supportive environment among peers. Caregivers receive respite and support. We have multiple locations for our Kensington Clubs throughout Montgomery County.

Kensington Club is specially designed to serve older adults with diagnosed early stage dementia or mild cognitive impairment. Since 2008, we have been serving people who:

Can enjoy the company of others with minimal risk of wandering,
Take medication independently or with verbal supervision only,
Are able to eat and use the bathroom without assistance,
Ambulate independently or with a cane.
The Club is an outlet for those with early memory loss who desire opportunities to challenge their mind and try new interests, who want to be pro-active and do something about their memory loss, and who can benefit from being around others in a stimulating and positive environment.

Through social interaction, mental challenges and physical activity, the Club seeks to maintain an intimacy and friendship that set it apart from other social day programs. Each member is treated as an individual and a sense of belonging to the Club is evident. Members find common ground and make friends. They recognize that Kensington Club caters to their individual interests and personalities in an atmosphere of warmth and acceptance."
852046417603864,1235669446637932,"Youth Services","Success in school sets the path for success in life. Our team educates, motivates, and encourages DC’s youth on their journey inside, outside, and beyond the classroom!

UPO’s Youth Services Division is here to help keep your child fulfilled, focused, and moving forward throughout the day and over the years. Our education and enrichment programs for first-graders to high school seniors are designed to make kids feel better about themselves, improve their academic and social skills, and become productive members of society. We also provide family support services to help create a supportive, nurturing setting for children and their families to develop, grow, and succeed."
838838258381308,1126607081226356,"Children and Adolescents","JSSS's program for children and adolescents."
889519031943155,948639800544467,"Family Advocacy",
920619210076352,1031170884115304,"Family Counseling","Dealing with the problems of parenting. Individual and group sessions. Marital; Parent and Child relationships.( By Appointment Only)"
948506459076989,1234827091202817,"Keep Safe Housing","As a survivor of domestic violence, you have the option to stay in your current apartment or house. Keep Safe Housing is a grouping of legal and financial resources to help you navigate the process."
893030777600658,1235669446637932,"Housing Counseling","Our housing counseling services provide the support, advice, and assistance you need to avoid homelessness, become a responsible tenant or owner, and live in comfort, safety, and security."
908730646817026,1321593994370513,"Labor of Love Human Services Center",
927796788349835,1280943812182660,"Men's Ministry",
1071789402394582,558598955804152,"Misler Center Adult Day Services","The Albert & Helen Misler Adult Day Center in Rockville, Maryland provides stimulating activities, socialization and nursing supervision for older adults with physical, cognitive or emotional challenges. Services include door-to-door transportation and hot kosher lunches. Grants and special funds cover a portion of the daily fees.

The participants at Misler come from a wide variety of backgrounds, reflecting the diversity of the Greater Washington area. People of all faiths and ethnic groups attend the Misler Center.

Our participants are all living in community settings – some live with spouses, others with adult children, some in group homes/assisted living residences and some even live on their own!

The older adults who attend Misler may be:

Socially isolated
Dealing with medical, cognitive or emotional challenges
Dependent on others for care needs
All our participants want to stay in the community, living as independently as possible. The Misler Center is able to help them achieve this goal, providing regular health supervision and an enriched environment with social, physical and cognitive stimulation. At Misler, we believe that it is as important to nourish the spirit as it is to nurture health!

Misler is a friendly and vibrant, non-sectarian adult day center for older adults with physical, cognitive or emotional challenges. Licensed by the State of Maryland, Department of Health and Mental Hygiene, Office of Health Quality, Misler provides assistance and stimulation by an interdisciplinary team of nurses, social workers, activities leaders and aides.

Misler Center services and activitiesAt Misler, staff all work together to provide an encouraging and supportive therapeutic environment for participants.

Our staff to participant ratio goes well beyond the requirements of the State of Maryland, demonstrating our commitment to excellence. Services include but are not limited to:

Door-to-door, fully accessible transportation provided by JCA’s ElderBus fleet
A daily choice among a variety of activities designed to meet a range of interests, needs and abilities and provide enriched cognitive and physical stimulation
Health services from RNs – monitoring of blood pressure, blood sugar, weight; medication administration
Assistance with every day activities from certified nursing assistants and geriatric aides
Social work services, including support for both participants and their families
Easy access to physical, occupational and speech therapy
On-site regular podiatry services
Nutritious and hot four course Kosher meals and snacks, with attention to special diets"
1077123691005918,808240584407061,"Stepping Stones (Basic Needs)","United Community's Stepping Stones program provides critical basic needs supportive services to vulnerable families who are in financial crisis and need emergency assistance. After a client assessment and a counseling session, families in their time of need may obtain emergency food, assistance to prevent eviction and utility cut-off, as well as prescription drug assistance."
1114852130959519,558598955804152,Connect-A-Ride,"Call Connect-A-Ride for answers and assistance. The Connect-A-Ride Transportation Resource Center is a free service that helps seniors and disabled adults of all ages find the transportation they need. Certified Information and Mobility Specialists help with schedules, benefits and eligibility requirements in:

Montgomery County, Maryland;
Arlington and Fairfax Counties in Virginia; and
the Virginia cities of Alexandria, Fairfax and Falls Church.
If you live in one of these jurisdictions and need transportation assistance, call Connect-A-Ride at 301.738.3252 or 703.323.6494."
1211904376095443,1126607081226356,"Adults, Couples and Parents","JSSS's program for adults, couples and parents."
1219582729649259,1126607081226356,"Individuals with Special Needs","JSSS's program for individuals with special needs."
1203557447583567,1235669446637932,"Early Education","UPO is proud to be the hub for the Quality Improvement Network, a multi-year effort to boost outcomes for infants and toddlers. We oversee 16 child development centers to ensure that they meet the Head Start Performance Standards.
DC’s Office of the State Superintendent of Education chose UPO because we have a proven high-quality model. Our knowledge helps build the capacity of neighborhood-based child care centers, creating a rising tide that truly lifts all boats."
1240410015235732,1234827091202817,"Housing Resource Center","Our walk-in Domestic Violence Resource Clinic takes place every Wednesday from 1:00pm-3:30pm at the Westminster Presbyterian Church on 400 I St SW, DC (near Waterfront metro). With the DC Volunteer Lawyers Project and My Sisters Place, we provide victims access to housing assistance, legal assistance, and counseling.

The Housing Resource Center (HRC) is the hub of DASH’s efforts to prevent homelessness among domestic violence survivors. We assist survivors in completing housing applications, obtaining safety transfers, navigating the public housing system, and making connections to community services. Survivors can conduct housing searches in our computer lab and work one-on-one with Housing Specialists.

Our Housing Resource Center Online is a web-based information clearinghouse with comprehensive information on housing programs for women, including details on admission processes, eligibility requirements, and accessibility for people with disabilities."
1250985891714404,558598955804152,"Senior Employment",
1224597294308578,863547285733670,"Emergency Food and Clothing Pantry","We provide families with:

food
clothing
housewares
housing information
health and nutrition information
connection to and information about  the Prince George’s Department of Social Services"
1243543998951764,558598955804152,"Heyman Interages Center","The JCA Heyman Interages® Center intergenerational programs have brought children and older adults together for 30 years. Since 1986, approximately 45,000 children and older adults in more than 100 schools and senior facilities have benefited from participation in our programs. Over the years hundreds of dedicated and caring older adult volunteers, who are the heart of Interages, have made a significant difference in the lives of children."
1317645687310879,1012774856380370,"Family Services","Far Southeast Family Strengthening Collaborative's Family Services program."
1317645687310880,,"Service Grouping","Service Grouping Description:"
1317645687310881,,"17-05 program",description
1317645687310882,,"Service Grouping:_edit-1","Service Grouping Description:_edit-1"
1317645687310883,,"TACT (Transitional Age Community Treatment)","An ACT team that specializes in  serving individuals ages 18-29. This program is the highest level of care offered for young adults at Community Connections .  Young adults are assigned a community-based Rehabilitation Specialist who can meet with TAY several times a week if needed.  This program offers  access to a wide range of services including psychiatry and groups."
1317645687310884,,"FACT (Forensic Assertive Community Treatment)","We have two ACT  teams which specialize in working closely with the courts, mental health court, CSOSA, and other other criminal justice systems."
1317645687310885,,"Level  1 Outpatient Addiction Services",
1317645687310886,,"Level 2.1 Intensive Outpatient Addiction Services",
1317645687310887,,"Level 1 Assessment and Referral",
1317645687310888,,"Recovery Support Substance Use Disorder Treatment Services for Adults",
1317645687310889,,"Oncology Dietitian","Nutrition sessions are available before, during or after treatment to any of our patients. During a one-on- one consult, your diagnosis, treatment side effects and goals will be assessed to determine the best eating plan to optimize your nutrition. We will discuss recom- mendations and strategies to help manage side effects, increase energy and help you better tolerate treat- ment as well as incorporate tips to maintain a healthy weight and feel your best."
1317645687310890,,"Support Programs","Program participants experience mind-body, spiritual, social and physical benefits. Actively pursuing wellness through education, skill building and experiential classes can help you work toward a better quality of life during and after treatment. Programs are grant-funded and free to participants."
1317645687310891,,"Financial Navigation","Our oncology financial navigator provides individual- ized assistance to patients, families and caregivers to facilitate timely access to care and help overcome health care system barriers. Your oncology financial navigator will: • Provide education about your individual insurance plan and treatment coverage • Locate foundations that offer financial help • Connect you with outside resources like co-pay as- sistance programs and health insurance education"
1317645687310892,,Navigation,"Our cancer nurse navigators, often referred to by our patients as “cancer coaches,” provide support, resources and care coordination from diagnosis to returning to life after cancer treatment. Patients often say they feel more prepared to handle what may lie ahead with the partnership of a navigator. Your cancer nurse navigator will: • Coordinate your care to ensure timely access and smooth transitions • Facilitate communication among patients, providers and other agencies to optimize your care • Prepare you and your loved ones on what to expect • Provide education about treatment, medication and disease side effects • Work in collaboration with our oncology social workers to address financial and insurance concerns • Connect you to oncology social work, nutrition and other support services as needed • Connect you to post-treatment survivorship resources"
1317645687310893,,"Palliative Care","This specialized medical care is focused on providing patients with relief from the symptoms, pain and stress of a cancer diagnosis. The goal is to improve quality of life for both the patient and the patient’s family and is appropriate at any age and at any stage of a serious illness. It can be provided with curative treatment. Palliative care benefits include: • Expert treatment of pain and other symptoms (such as poor appetite, nausea, vomiting, constipation) • Dedicated time with you and your family to consider treatment preferences and navigate the health care system • Assistance with coordinating your care with all your health care providers • Guidance in considering difficult decisions and understanding complex information • Emotional and spiritual support for you/your family • Assistance with advance care planning • Education about hospice and its benefits"
1317645687310894,,"Social Work","Social workers provide for the psychological, social, emotional and practical needs of cancer patients and their families. They can teach you how to manage the stress and changes that may come with cancer. Contact an oncology social worker to: • Learn how to talk about cancer with family members, children, friends, employers and your health care team • Help you manage feelings of anxiety, fear, sadness, anger, worry or depression that can be associated with a cancer diagnosis and treatment • Learn new ways of coping with stress • Help organize your family life around cancer treatment • Educate and connect you and your family with services like transportation, home care, financial assistance, hospice and palliative care"
1317645687310895,,"Support Groups","These groups offer an opportunity to meet others going through similar experiences and gain support and friendship. Each group is facilitated by a social worker and other oncology staff to provide a safe and informative community."
1317645687310896,,Navigation,"Our cancer nurse navigators, often referred to by our patients as “cancer coaches,” provide support, resources and care coordination from diagnosis to returning to life after cancer treatment. Patients often say they feel more prepared to handle what may lie ahead with the partnership of a navigator. Your cancer nurse navigator will: • Coordinate your care to ensure timely access and smooth transitions • Facilitate communication among patients, providers and other agencies to optimize your care • Prepare you and your loved ones on what to expect • Provide education about treatment, medication and disease side effects • Work in collaboration with our oncology social workers to address financial and insurance concerns • Connect you to oncology social work, nutrition and other support services as needed • Connect you to post-treatment survivorship resources"
1317645687310897,,"St. Francis Outreach Center",
1317645687310898,,"General Medical Services","patient-centered primary care services and specialty services on-site, including minor surgery, Gynecology, Cardiology, Pulmonology, Dermatology, Orthopedics, Acupuncture and referrals to other specialty services including Physical Therapy."
1317645687310899,,"Chronic Care Initiative:","for patients with diabetes, hypertension or cardiovascular disease, from early diagnosis.  Regular follow-up with a medical provider and support provided by individualized or group education sessions available. Medical supplies also available in some cases."
1317645687310900,,"Diabetes Focus Groups:","Individualized or group education sessions to reinforce and provide support in lifestyle changes that are essential for adequate management and prevention of complications related to diabetes"
1317645687310901,,"Medication Assistance Program","Assistance in obtaining free/low cost medications for all patients through a variety of programs."
1317645687310902,,"¡Celebremos la Vida!","Cancer Prevention program, including on-site screening mammogram, pap smear, required follow-up and health education about breast and cervical cancer."
1317645687310903,,"Colorectal Cancer Education","Health education program and take-home testing for Colorectal Cancer."
1317645687310904,,Counseling,"Psychological support for patients to address stress, coping skills, PTSD and depression"
1317645687310905,,"Diabetic Eye Exam","Diabetic patients receive retinal eye exams pro bono"
1317645687310906,,"Referral to Specialty Care providers","Connecting patients who meet specific eligibility criteria to a network of health care providers"
1317645687310907,,"Low-Barrier Shelters","These are shelters open to any single adult every single night of the year. You can simply show up at 7 pm and go through intake. We will provide you with a bed, a hot meal, a place to shower and use the restroom, and access to a case manager."
1317645687310908,,"Permanent Supportive Housing in Washington DC and Maryland","We offer two forms of permanent supportive housing: scattered site (located in apartments throughout the city) and site-based (located in a single building)."
